#,Gender,Height,Weight,DOB,Age,Sun_Sign,CGPA,Programming_Rate,Preferred_Lang,Sim_Course,Focus,DS_Same_As_DA,Mean,Median,Sleeping_Time,Sleep_Duration,Like_Maths,Engg_First_Choice,Inst_Choice,Physical_Activity
178,Male,170,69,7/23/1999,19,Leo,7.58,3,C,No,Data,Yes,6,5.5,11:00:00 PM,7,Yes,Yes,Doesn't matter,On daily basis
179,Male,165,55,7/21/1999,19,Libra,9.82,4,Python,No,Science,Yes,6,8,10:30:00 PM,8,Yes,Yes,Female,Not so often
180,Male,5.9,65,5/16/1999,19,Taurus,8,4,C,No,Data,May be,,8,11:30:00 PM,7,Yes,Doesn't matter,Doesn't matter,Not so often
181,Male,170,50,9/7/1999,19,Capricorn,9.22,4,C,No,Science,No,6,8,11:00:00 PM,7,Yes,Yes,Doesn't matter,Once in a week
182,Male,185,114,12/30/1999,19,Capricorn,8.05,4,Python,No,Science,No,6,9,12:30:00 PM,6,No,Yes,Female,Not so often
183,Female,150,54,9/6/2000,19,Virgo,9.45,3,C,No,Data,May be,6,8,11 pm,7,Yes,Yes,Doesn't matter,On daily basis
184,Male,181,80,6/22/2000,19,Pisces,8.54,3,C,No,Science,No,6,8,10 pm,8,Yes,Yes,Doesn't matter,On daily basis
185,Female,164,58,9/5/1999,19,Virgo,8,3,C,No,Data,No,8,9,12 pm,5 nd a half,Yes,Yes,Male,Not so often
186,Female,170,52.5,11/18/2000,18,Scorpio,9.25,4,C,No,Data,May be,6,9,12,6.5,Yes,Yes,Doesn't matter,Once in a week
187,Female,150,40,4/19/2000,19,Aries,8.8,5,C++,No,Data,No,6,8,1:30 AM,6,Yes,Yes,Doesn't matter,Once in a week
188,Female,166,57,9/15/2000,19,Virgo,9.21,5,C++,No,Data,May be,6,8,23:30,6,Yes,Doesn't matter,Doesn't matter,Once in a week
189,Male,183 cm,62,12/16/1999,19,Sagittarius,8.4,2,Python,No,Data,May be,6,8,11,8,Yes,Not at all,Doesn't matter,Once in a month
190,Male,182,94,11/10/1999,19,Scorpio,7.75,3,C++,No,Data,May be,6,8,11,7,No,Doesn't matter,Female,Not so often
191,Male,175,80,2/23/2000,19,Don't Know,9.71,4,Python,Yes,Data,Yes,6,8,11:00 PM,7,Yes,Yes,Doesn't matter,Once in a week
192,Male,170,50,10/6/2000,18,Sagittarius,9.1,4,Python,No,Data,May be,6,8,11:30,7,Yes,Yes,Doesn't matter,Once in a week
193,Male,177,55,12/31/2000,18,Aquarius,7.5,3,Python,Yes,Science,No,11,9,Depends,May be 6,No,Yes,Doesn't matter,On daily basis
194,Male,175,55,7/9/2000,19,Libra,9.315,4,Python,No,Data,May be,6,8,11:30,7,Yes,Yes,Male,Not so often
195,Male,174,75,7/21/2000,19,Pisces,9.206,3,Python,No,Data,No,6,8,11:30,5-6,Yes,Yes,Doesn't matter,Once in a week
196,Female,161,67.2,5/12/2019,19,Leo,8.78,3,Python,No,Science,May be,23.6,8,12:00,6,Yes,Not at all,Doesn't matter,On daily basis
197,Male,182,94,11/10/1999,19,Scorpio,7.75,3,C++,No,Data,May be,6,8,11,7,No,Doesn't matter,Female,Not so often
198,Female,161,67.2,5/12/2019,19,Leo,8.78,3,Python,No,Science,May be,23.6,8,12:00,6,Yes,Not at all,Doesn't matter,On daily basis
199,Male,186.5,55,1/1/2000,19,Capricorn,8.54,5,Python,Yes,Data,No,6,8,Hard to say,7,Yes,Yes,Female,On daily basis
200,Female,150,55,4/27/2001,18,Gemini,8.75,3,C,No,Data,May be,6,30,10,7,Yes,Yes,Doesn't matter,On daily basis
201,Male,186,81,1/30/2000,19,Aquarius,8.500000012,4,Python,Yes,Data,No,6,8,Bedtime,6.783762877,Yes,Doesn't matter,Male,On daily basis
202,Male,183,,6/4/2000,19,Gemini,6.8,5,Python,Yes,Data,No,6,8,9 pm,9-10 Hrs,Yes,Yes,Doesn't matter,Once in a week
203,Male,172,48,3/28/2000,19,Scorpio,8.8,3,Python,No,Data,May be,6,8,10 pm,7,Yes,Doesn't matter,Female,Once in a week
204,Male,170,57,5/16/2000,,Taurus,9.27,2,C,No,Data,May be,6,8,11:00pm,6.5,Yes,Yes,Doesn't matter,On daily basis
205,Male,175cm,68,12/5/1999,19,Sagittarius,9.5,2,C,No,Data,May be,6,8,10:30,8,Yes,Doesn't matter,Doesn't matter,On daily basis
206,Male,183,77,3/6/2000,19,Aquarius,7.88,4,C++,No,Data,No,6,8,11:30PM,7hrs,Yes,Yes,Doesn't matter,Not so often
207,Male,180,95,12/16/1999,19,Sagittarius,9.17,3,Python,No,Science,No,6,8,2:00 AM,5,Yes,Doesn't matter,Doesn't matter,Never
208,Male,180,65,4/26/2000,19,Taurus,7.5,4,C++,No,Data,No,6,8,11:45 pm,6,Yes,Yes,Doesn't matter,Once in a week
209,Female,153,58,5/30/1999,19,Virgo,6.9,1,C++,Yes,Data,May be,6,8,9:00,7hrs,No,Doesn't matter,Doesn't matter,Never
210,Female,5'2,50,10/24/2000,29,Leo,7.02,3,C++,No,Data,May be,6,8,11,8,Yes,Yes,Doesn't matter,On daily basis
211,Male,171,53,7/8/2000,19,Cancer,7.05,3,C,No,Science,May be,6,8,11,7,Yes,Yes,Doesn't matter,Once in a week
212,Male,175cm,68,12/5/1999,19,Sagittarius,9.5,2,C,No,Data,May be,6,8,10:30,8,Yes,Doesn't matter,Doesn't matter,On daily basis
213,Male,165,50,2/27/2000,19,Pisces,8.07,3,Python,No,Science,May be,6,8,11,8hrs,Yes,Yes,Female,On daily basis
214,Female,171,53,10/9/2000,18,Libra,8.4,2,Python,No,Data,May be,6,8,11pm,6,Yes,Yes,Doesn't matter,Not so often
215,Male,175cm,68,12/5/1999,19,Sagittarius,9.5,2,C,No,Data,May be,6,8,10:30,8,Yes,Doesn't matter,Doesn't matter,On daily basis
216,Male,176,80,11/11/2000,18,Scorpio,8.1,3,Java,No,Data,No,6,8,11,6.5,Yes,Yes,Doesn't matter,Not so often
217,Male,167,65,10/9/1999,19,Aries,8.75,3,Python,No,Data,May be,6,8,12,7,Yes,Yes,Doesn't matter,Once in a week
218,Male,165.8,51,1/27/1999,19,Aquarius,8.96,5,Python,No,Data,No,6,8,6,4,Yes,Yes,Doesn't matter,On daily basis
219,Male,170,63,6/20/1999,19,Don't Know,7.3,3,Python,No,Data,No,3,8,12,5,Yes,Not at all,Doesn't matter,Not so often
220,Male,172,105,11/25/1999,19,Sagittarius,7.5,3,Python,No,Data,Yes,6,8,1,6,Yes,Yes,Doesn't matter,On daily basis
221,Male,175,80,10/29/2000,18,Scorpio,9.41,3,Python,No,Data,May be,6,8,0:15,6,Yes,Yes,Doesn't matter,Once in a week
222,Male,195,64,7/12/2000,19,Cancer,8.88,3,Python,No,Science,May be,6,8,12 am,6,Yes,Yes,Doesn't matter,On daily basis
223,Male,168,51,11/26/2000,18,Virgo,6.5,3,C,No,Science,May be,6,8,11 pm,7,Yes,Yes,Doesn't matter,Once in a week
224,Male,179,64,11/28/1999,19,Sagittarius,8,3,C,No,Data,No,6,9,11,8,Yes,Not at all,Female,On daily basis
225,Female,161,45,8/26/2000,18,Virgo,7.6,3,C,No,Data,No,6,8,11 pm,6 hrs ,Yes,Yes,Doesn't matter,Once in a week
226,Male,183,85,5/1/2000,19,Taurus,8.2,4,C++,Yes,Data,Yes,6,8,23:00,8,Yes,Yes,Doesn't matter,Not so often
227,Female,169,73,8/11/2000,18,Scorpio,7.9,2,Python,No,Data,May be,6,8,11,7,Yes,Doesn't matter,Doesn't matter,On daily basis
228,Male,183,95,4/3/2001,18,Cancer,7.5,3,Python,No,Data,May be,6,9,10:30pm,8,Yes,Yes,Doesn't matter,On daily basis
229,Male,183,85,5/1/2000,19,Taurus,8.2,4,C++,Yes,Data,Yes,6,8,23:00,8,Yes,Yes,Doesn't matter,Not so often
230,Male,168,65,11/26/2000,19,Scorpio,7.7,3,C,No,Science,May be,6,8,10 pm,8,Yes,Yes,Male,Once in a week
231,Male,183,85,5/1/2000,19,Taurus,8.2,4,C++,Yes,Data,Yes,6,8,23:00,8,Yes,Yes,Doesn't matter,Not so often
232,Male,168,64,11/4/2000,18,Scorpio,8.2,3,Python,No,Data,No,6,9,11pm,8,Yes,Yes,Doesn't matter,On daily basis
233,Male,180,84,2/12/2000,19,Leo,9.83,3,Python,Yes,Data,May be,6,8,22:00,7,Yes,Yes,Doesn't matter,On daily basis
234,Male,160,56,1/5/2000,19,Scorpio,8.5,3,C,No,Data,May be,6,9,11,7,Yes,Yes,Doesn't matter,On daily basis
235,Male,160,75,10/30/1999,19,Scorpio,6.79,4,Python,Yes,Data,No,6,8,12,5,No,Yes,Doesn't matter,On daily basis
236,Male,176,71,5/14/2000,19,Taurus,10,1,Python,No,Data,No,6,8,21:00,10,No,Doesn't matter,Female,On daily basis
237,Female,153,45,9/22/2000,18,Gemini,8.63,2,C,No,Science,May be,6,8,11,7,Yes,Doesn't matter,Doesn't matter,Once in a week
238,Male,160,90,7/2/2000,19,Leo,8.08,3,Python,No,Data,May be,6,8,22:00,6,Yes,Yes,Doesn't matter,Not so often
239,Female,165,58,10/18/2000,18,Libra,8.6,4,Python,No,Data,May be,6,8,12 midnight,5-6,Yes,Yes,Doesn't matter,Once in a week
240,Male,174,74,5/26/2000,19,Libra,9.23,4,C,Yes,Data,No,6,8,11,8,Yes,Yes,Doesn't matter,On daily basis
241,Male,160,50,2/15/2001,18,Gemini,7.45,4,Python,Yes,Data,Yes,6,8,1,6,Yes,Yes,Female,Not so often
242,Male,189,59,8/25/2000,19,Virgo,7.89,4,Python,No,Science,May be,6,8,0100,6,No,Yes,Doesn't matter,On daily basis
243,Male,170,62,4/2/2000,19,Aries,8.9,4,Python,Yes,Science,No,6,8,11,8,Yes,Yes,Doesn't matter,Once in a week
244,Male,176,82,9/13/2000,18,Virgo,7.4,3,Python,Yes,Science,May be,6,8,12 am,5,Yes,Yes,Doesn't matter,On daily basis
245,Male,187,70,1/25/2000,19,Virgo,9.5,3,Python,No,Science,May be,6,8,11,8,Yes,Doesn't matter,Doesn't matter,On daily basis
246,Male,180,55,1/7/2019,19,Capricorn,8.41,3,Java,No,Data,May be,6,8,12AM,15,Yes,Not at all,Doesn't matter,On daily basis
247,Male,175,85,10/30/2000,18,Scorpio,8,3,C,Yes,Data,No,6,8,12,7,Yes,Not at all,Doesn't matter,On daily basis
248,Male,178,78,9/4/1999,19,Virgo,8.67,4,Python,No,Data,May be,6,8,11,6,Yes,Doesn't matter,Doesn't matter,Once in a month
249,Male,169 cm,61 kg,4/27/2000,19,Taurus,7.5,2,C,No,Data,No,6,8,11 pm,8 hrs,Yes,Doesn't matter,Doesn't matter,On daily basis
250,Male,167,62,9/3/2000,18,Virgo,7.5,4,C,No,Data,May be,6,8,00:00,6,Yes,Yes,Doesn't matter,Once in a week
251,Male,165,57,2/10/2000,19,Aquarius,6.65,3,C,No,Data,No,6,8,11,6,Yes,Yes,Male,Once in a month
252,Male,158,52,6/29/2000,19,Leo,8,3,C,No,Data,No,15,4,2,4,Yes,Yes,Doesn't matter,Not so often
253,Male,150,50,7/17/2000,19,Leo,7.79,3,C,No,Data,May be,9,6,11:00 PM,6,Yes,Yes,Doesn't matter,Once in a month
254,Male,170,57,8/29/1999,19,Virgo,8.6,3,Python,Yes,Science,No,6,8,11.30 p.m.,7,Yes,Yes,Doesn't matter,On daily basis
255,Male,181,80,5/18/2000,19,Scorpio,7.56,2,C++,No,Data,No,6,8,11.3,6,No,Yes,Doesn't matter,Once in a week
256,Male,175,100,1/29/1999,20,Aquarius,8.9,3,Python,No,Data,No,6,8,1 am,6-7,Yes,Yes,Doesn't matter,Once in a week
257,Female,161,53,6/13/2000,19,Scorpio,8,3,C,No,Data,May be,6,8,12,5-6hours,Yes,Yes,Doesn't matter,Once in a week
258,Male,170,50,4/18/2000,19,Aries,9.83,4,C,No,Data,May be,6,8,22:30,8,Yes,Yes,Doesn't matter,Once in a week
259,Male,174,67,3/5/2001,18,Pisces,8.43,3,Python,Yes,Data,No,6,8,12AM,6-7,Yes,Not at all,Doesn't matter,On daily basis
260,Male,165,57,2/10/2000,19,Aquarius,6.65,3,C,No,Data,No,6,8,11,6,Yes,Yes,Male,Once in a month
261,Male,175,67,11/13/2000,18,Scorpio,8.71,3,Python,No,Science,No,6,8,11:00 PM,7,Yes,Yes,Doesn't matter,Not so often
262,Male,185,75,6/16/2000,19,Gemini,7.42,4,C++,No,Data,May be,6,8,11,7,Yes,Yes,Doesn't matter,On daily basis
263,Male,165,52,11/21/2000,18,Virgo,8.5,3,Python,Yes,Data,No,6,8,11.30pm,6,Yes,Yes,Female,Once in a week
264,Male,177.8,60,8/6/2000,19,Leo,8,4,C++,No,Science,Yes,6,8,12:30 AM,5.5-6,Yes,Yes,Doesn't matter,Once in a month
265,Female,164,43,2/23/2001,18,Pisces,8.6,2,C,No,Science,May be,6,8,11,6,No,Yes,Doesn't matter,Not so often
266,Male,183,70,6/28/2000,19,Cancer,9.21,4,Python,Yes,Science,No,6,8,11,7,Yes,Yes,Doesn't matter,Once in a week
267,Male,185,81,11/16/2000,18,Scorpio,8.4,3,C,No,Data,No,6,8,11:00 PM,7,Yes,Yes,Doesn't matter,Once in a week
268,Female,164,56,6/4/2000,19,Gemini,9.58,5,Python,Yes,Data,No,6,8,10:30 pm,8.5,Yes,Yes,Doesn't matter,Once in a week
269,Female,175,66,9/23/2019,18,Libra,7.9,4,Java,No,Science,No,6,8,12 am,6,No,Yes,Doesn't matter,Not so often
270,Male,183,61,7/1/2000,19,Cancer,7.88,3,Python,Yes,Data,No,6,8,11 pm,7,Yes,Doesn't matter,Doesn't matter,On daily basis
271,Male,186,59,2/2/2000,19,Aquarius,8.71,3,Python,No,Data,No,15,8,1:30am,5,No,Yes,Doesn't matter,Once in a week
272,Male,192,90.8,10/6/2000,18,Libra,6.5,4,Java,No,Science,No,6,8,3 a.m,4 hours,No,Yes,Female,Once in a month
273,Female,168,47,7/2/2000,19,Cancer,9.2,3,Python,No,Data,May be,6,I,11,5,Yes,Doesn't matter,Doesn't matter,Not so often
274,Female,168,60,10/10/2000,18,Aquarius,8,3,Python,No,Data,No,6,8,12:00,7,Yes,Yes,Doesn't matter,Not so often
275,Female,160,60,2/13/2001,18,Libra,9.29,3,Python,No,Data,May be,6,9,1:00 PM,7,Yes,Yes,Doesn't matter,Not so often
276,Male,180,66,3/21/2000,19,Aries,9.41,3,C,No,Data,No,6,8,11:30,8,No,Yes,Female,Once in a week
277,Male,176,78,6/27/2000,19,Cancer,9.58,5,C++,Yes,Data,No,6,8,11:29:59,6.75,Yes,Yes,Doesn't matter,On daily basis
278,Male,179,75,5/19/1999,20,Scorpio,9,3,C,No,Science,May be,6,8,11.3,7,Yes,Yes,Doesn't matter,Once in a week
279,Female,166,,12/17/2000,,Leo,8.83,3,Python,No,Data,May be,6,8,11,8,Yes,Yes,Doesn't matter,Once in a week
280,Male,165,75,12/15/1999,19,Sagittarius,8.65,3,Python,No,Science,May be,15,8,12:00 am,6,Yes,Doesn't matter,Doesn't matter,On daily basis
281,Male,186,87. 5,4/16/2001,18,Aries,9,4,Python,Yes,Data,No,6,8,11:45,6.5,Yes,Yes,Doesn't matter,On daily basis
282,Male,177,73,6/18/1999,21,Gemini,8.5,3,Python,No,Data,No,6,8,1:00 am,6,Yes,Yes,Doesn't matter,On daily basis
283,Female,165,55,7/12/2000,19,Scorpio,9,3,C,Yes,Data,No,6,8,12,7,Yes,Yes,Doesn't matter,Once in a week
284,Female,155,45,8/17/1999,20,Libra,8,2,C,No,Science,May be,6,8,10,7,Yes,Yes,Doesn't matter,Not so often
285,Female,170,52,1/9/2001,18,Capricorn,7.3,1,C++,No,Data,May be,6,8,11pm,7,Yes,Not at all,Doesn't matter,Not so often
286,Male,174,67,3/5/2001,18,Pisces,8.43,3,Python,Yes,Data,No,6,8,12AM,6-7,Yes,Not at all,Doesn't matter,On daily basis
287,Female,160,53,6/5/2000,19,Gemini,8.46,3,Python,No,Data,May be,6,9,10:00 pm,7,Yes,Yes,Female,Not so often
288,Male,192,90.8,10/6/2000,18,Libra,6.5,4,Java,No,Science,No,6,8,3 a.m,4 hours,No,Yes,Female,Once in a month
289,Male,158,48.5,3/7/2000,19,Pisces,8.355,4,Java,No,Data,May be,6,8,11:00,7,Yes,Yes,Doesn't matter,On daily basis
290,Female,159,43,10/23/2000,18,Scorpio,7.7,1,C,No,Data,May be,6,8,10:30,7,Yes,Doesn't matter,Doesn't matter,Never
291,Male,177,52,3/29/2000,19,Sagittarius,8.42,3,C,No,Data,May be,6,8,11 pm,7,Yes,Yes,Doesn't matter,On daily basis
292,Male,186,70,7/9/2001,18,Virgo,8.8,4,C,No,Data,May be,6,8,9:30,8,Yes,Not at all,Female,On daily basis
293,Male,170,57,8/29/1999,19,Virgo,8.6,3,Python,Yes,Science,No,6,8,11.30 p.m.,7,Yes,Yes,Doesn't matter,On daily basis
294,Male,175cm,80,6/5/2000,19,Gemini,6.2,3,C++,Yes,Data,May be,6,8,11,8,Yes,Yes,Doesn't matter,On daily basis
295,Male,173,60,3/26/2000,20,Cancer,7.6,2,C,No,Data,No,6,8,1:00 AM,6,Yes,Yes,Doesn't matter,Once in a week
296,Male,175cm,65,4/10/2001,18,Aries,8.42,4,Python,No,Data,No,6,8,After 11:30pm,6-7 hours,Yes,Yes,Doesn't matter,Not so often
297,Male,186,59,2/2/2000,19,Aquarius,8.71,3,Python,No,Data,No,15,8,1:30am,5,No,Yes,Doesn't matter,Once in a week
298,Male,186,59,2/2/2000,19,Aquarius,8.71,3,Python,No,Data,No,15,8,1:30am,5,No,Yes,Doesn't matter,Once in a week
299,Female,170,49,8/4/2019,17,Leo,8.1,3,C,No,Data,May be,6,8,12,7,Yes,Yes,Doesn't matter,Not so often
300,Female,170,49,8/4/2019,17,Leo,8.1,3,C,No,Data,May be,6,8,12,7,Yes,Yes,Doesn't matter,Not so often
301,Female,160,51kg,11/24/2000,18,Libra,7.3,2,Python,No,Science,May be,,9,11pm,7,Yes,Not at all,Doesn't matter,Once in a week
302,Male,167,68,8/5/1999,20,Leo,8,5,C++,No,Data,May be,15,8,10:30pm,7,Yes,Yes,Doesn't matter,On daily basis
303,Female,158,50,10/6/1999,19,Libra,6,3,Java,Yes,Data,May be,6,8,12 am,6,Yes,Doesn't matter,Doesn't matter,On daily basis
304,Male,160,45,1/6/2001,18,Taurus,7.6,3,Python,Yes,Data,May be,6,8,11:30,,,Not at all,Female,Once in a week
305,Female,160,58,9/8/2019,18,Virgo,8,1,C,No,Data,May be,6,8,10:30,,,Doesn't matter,Doesn't matter,
306,Male,180,65,1/19/2000,19,Capricorn,8.5,3,Python,No,Data,May be,6,8,10:00 pm,7,Yes,Yes,Doesn't matter,On daily basis
307,Male,180,65,1/19/2000,19,Capricorn,8.5,3,Python,No,Data,May be,6,8,10:00 pm,7,Yes,Yes,Doesn't matter,On daily basis
308,Male,180,65,1/19/2000,19,Capricorn,8.5,3,Python,No,Data,May be,6,8,10:00 pm,7,Yes,Yes,Doesn't matter,On daily basis
309,Female,159,56,3/20/2019,19,Pisces,7.5,3,Java,Yes,Science,May be,6,8,1am,6,No,Doesn't matter,Doesn't matter,On daily basis
310,Male,169,58,6/23/1999,20,Cancer,7.71,3,C,Yes,Data,May be,6,8,12,5,Yes,Yes,Female,Once in a week
